"no","tahun","pemda","provinsi","wilayah","disclaimer","special_row","400_a","400_r","400_p","410_a","410_r","410_p","411_a","411_r","411_p","412_a","412_r","412_p","413_a","413_r","413_p","414_a","414_r","414_p","420_a","420_r","420_p","421_a","421_r","421_p","422_a","422_r","422_p","423_a","423_r","423_p","430_a","430_r","430_p","431_a","431_r","431_p","432_a","432_r","432_p","433_a","433_r","433_p","434_a","434_r","434_p","435_a","435_r","435_p","436_a","436_r","436_p","439_a","439_r","439_p","500_a","500_r","500_p","510_a","510_r","510_p","511_a","511_r","511_p","512_a","512_r","512_p","513_a","513_r","513_p","514_a","514_r","514_p","515_a","515_r","515_p","516_a","516_r","516_p","517_a","517_r","517_p","518_a","518_r","518_p","519_a","519_r","519_p","520_a","520_r","520_p","521_a","521_r","521_p","522_a","522_r","522_p","523_a","523_r","523_p","600_a","600_r","600_p","610_a","610_r","610_p","611_a","611_r","611_p","612_a","612_r","612_p","613_a","613_r","613_p","614_a","614_r","614_p","615_a","615_r","615_p","616_a","616_r","616_p","617_a","617_r","617_p","619_a","619_r","619_p","620_a","620_r","620_p","621_a","621_r","621_p","622_a","622_r","622_p","623_a","623_r","623_p","624_a","624_r","624_p","625_a","625_r","625_p","626_a","626_r","626_p","629_a","629_r","629_p"
"1","2019","--","--","Nasional","Realisasi APBD 2019 (per 21 Oktober 2020)","False","1192632596975191","1198407263749389","100,48 %","295522478500502","293659554462944","99,37 %","208768791317584","208938202091416","100,08 %","12024097308807","9790446658653","81,42 %","9151214894095","8876865718058","97,00 %","65578374980016","66054039994817","100,73 %","711085434847102","697953796466298","98,15 %","103298663414047","97614925583613","94,50 %","417384397293043","418292754848661","100,22 %","190402374140012","182046116034024","95,61 %","186024683627587","206793912820147","111,16 %","26574436524977","37076664328289","139,52 %","0","20939073000","-","42354001613359","49642393891676","117,21 %","97533650178814","101056117260866","103,61 %","9480666636608","14882924615255","156,98 %","10081928673829","0","0,00 %","0","4114873651061","-","1242149614638869","1188023283604846","95,64 %","656207503907838","642330089418900","97,89 %","386632929588841","362976387304576","93,88 %","739531263460","419583949978","56,74 %","5485883758211","3360631918629","61,26 %","65090671293735","74152399696318","113,92 %","10450303106230","11691830678910","111,88 %","50374303601336","55933580631132","111,04 %","133611574835937","132928339283228","99,49 %","3822306460088","867335956129","22,69 %","0","0","-","585942110731031","545693194185946","93,13 %","46204619626960","21992630941673","47,60 %","301368573060140","304786755807290","101,13 %","238368918043931","218913807436983","91,84 %","50144475938042","89623760951727","178,73 %","67032869151705","106988072081079","159,61 %","56667549044160","99176337020020","175,01 %","317128105871","278562930145","87,84 %","47451162989","5260887235","11,09 %","9388020521936","6754564124446","71,95 %","395894283627","333936393137","84,35 %","153798694122","61530762545","40,01 %","63027339000","377879963551","599,55 %","0","0","-","16888393213663","17364311129352","102,82 %","314891280700","644102615716","204,55 %","12851385657959","12390345460282","96,41 %","3214135008511","4134510435825","128,64 %","420838400000","34716195000","8,25 %","41199032693","37985149074","92,20 %","45943833800","5090953912","11,08 %","0","117560319543","-"
"2","2019","00","33","Prov. Sulawesi Barat","Realisasi APBD 2019 (per 21 Oktober 2020)","False","2104832040777","2034819568403","96,67 %","370109975741","345208054042","93,27 %","295359859050","291493654113","98,69 %","44937600000","24203115569","53,86 %","16175000000","9215164239","56,97 %","13637516691","20296120121","148,83 %","1696826474000","1652046786611","97,36 %","19554644000","13152404952","67,26 %","1064068728000","1064068728000","100,00 %","613203102000","574825653659","93,74 %","37895591036","37564727750","99,13 %","1811430036","685129000","37,82 %","0","0","-","0","0","-","36084161000","36084161000","100,00 %","0","0","-","0","0","-","0","795437750","-","2076721964931","2006026015782","96,60 %","1059135253788","1051212308538","99,25 %","550486283756","527799474077","95,88 %","19154077368","18844642150","98,38 %","0","0","-","262750918000","282933260000","107,68 %","0","0","-","149939974664","148809394814","99,25 %","72804000000","72783325397","99,97 %","4000000000","42212100","1,06 %","0","0","-","1017586711143","954813707244","93,83 %","61882337000","0","0,00 %","538271309365","590564295905","109,71 %","417433064778","364249411339","87,26 %","-28110075847","69099306747","-245,82 %","30650372553","129324330603","421,93 %","30650372553","129324330603","421,93 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","58760448400","60225023856","102,49 %","0","0","-","12000000000","14000000000","116,67 %","46760448400","46225023856","98,85 %","0","0","-","0","0","-","0","0","-","0","0","-"
"3","2019","02","33","Kab. Mamuju","Realisasi APBD 2019 (per 21 Oktober 2020)","False","1140183392388","1125649491486","98,73 %","88802466997","80120391427","90,22 %","31052009529","31245030046","100,62 %","28076536008","5388042313","19,19 %","6098421900","3410219186","55,92 %","23575499560","40077099882","169,99 %","872916198000","860704209101","98,60 %","14155124000","10425836951","73,65 %","651748764000","651748764000","100,00 %","207012310000","198529608150","95,90 %","178464727391","184824890958","103,56 %","41963200000","49394119300","117,71 %","0","0","-","38953041391","35632285658","91,47 %","97548486000","97548486000","100,00 %","0","2250000000","-","0","0","-","0","0","-","1161981065159","1127451706789","97,03 %","584633717764","573242885930","98,05 %","417560650013","389666698445","93,32 %","0","0","-","0","0","-","17633000000","36999085639","209,83 %","160000000","118000000","73,75 %","0","0","-","146280067751","146223842846","99,96 %","3000000000","235259000","7,84 %","0","0","-","577347347395","554208820859","95,99 %","59279970041","3254276700","5,49 %","278624982306","316540527784","113,61 %","239442395048","234414016375","97,90 %","21797672771","13395756003","61,45 %","23797672771","13395756003","56,29 %","23797672771","13395756003","56,29 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2000000000","0","0,00 %","0","0","-","2000000000","0","0,00 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-"
"4","2019","01","33","Kab. Majene","Realisasi APBD 2019 (per 21 Oktober 2020)","False","971557408491","974783672815","100,33 %","64602792216","65545400638","101,46 %","9564665643","8820212896","92,22 %","14670609069","7859305734","53,57 %","2686434973","2969199261","110,53 %","37681082531","45896682747","121,80 %","758229789002","788094485120","103,94 %","9242400000","7121312501","77,05 %","536729863000","536729863000","100,00 %","212257526002","244243309619","115,07 %","148724827273","121143787057","81,45 %","31443454503","32343240256","102,86 %","0","0","-","18918379770","19508524801","103,12 %","98362993000","64292022000","65,36 %","0","5000000000","-","0","0","-","0","0","-","969757408491","976805107702","100,73 %","534020661030","566781081685","106,13 %","397695293258","392059273220","98,58 %","0","21000000","-","0","0","-","3964200000","50533611507","1.274,75 %","3125000000","3125000000","100,00 %","1509629165","1413509123","93,63 %","119323778607","119323761910","100,00 %","8402760000","304925925","3,63 %","0","0","-","435736747461","410024026017","94,10 %","3535774100","3370249750","95,32 %","259956039477","225533595892","86,76 %","172244933884","181120180375","105,15 %","-1800000000","17183071717","-954,62 %","200000000","18843071717","9.421,54 %","0","15647949117","-","0","0","-","0","0","-","0","3194722600","-","0","0","-","0","0","-","200000000","400000","0,20 %","0","0","-","2000000000","1660000000","83,00 %","0","0","-","2000000000","1660000000","83,00 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-"
"5","2019","03","33","Kab. Polewali Mandar","Realisasi APBD 2019 (per 21 Oktober 2020)","False","1595181080587","1605308497517","100,63 %","169907136452","173713736017","102,24 %","20629440000","24370100226","118,13 %","10470000000","12249690554","117,00 %","3819268998","4019024496","105,23 %","134988427454","133074920741","98,58 %","1145705106000","1130429457452","98,67 %","10875922000","8270506054","76,04 %","743882762000","743882762000","100,00 %","390946422000","378276189398","96,76 %","279568838135","301165304048","107,72 %","57432000000","61531826000","107,14 %","0","0","-","35838624135","37835318048","105,57 %","186298214000","186298160000","100,00 %","0","15500000000","-","0","0","-","0","0","-","1610181080587","1573351569682","97,71 %","888324858542","841097581952","94,68 %","613351710262","569938088641","92,92 %","0","0","-","0","0","-","26688200000","26214150000","98,22 %","4123750000","5006846900","121,41 %","3109944000","1879456891","60,43 %","238051254280","238058985520","100,00 %","3000000000","54000","0,00 %","0","0","-","721856222045","732253987730","101,44 %","47869690207","43491032313","90,85 %","342267447296","338520260254","98,91 %","331719084542","350242695163","105,58 %","15000000000","28107979724","187,39 %","15000000000","28107979724","187,39 %","15000000000","28107979724","187,39 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-"
"6","2019","04","33","Kab. Mamasa","Realisasi APBD 2019 (per 21 Oktober 2020)","False","986165748433","1007726906418","102,19 %","47085497525","31929447979","67,81 %","5747476900","5297397860","92,17 %","13887990441","5765818463","41,52 %","3564003561","3179172515","89,20 %","23886026623","17687059141","74,05 %","764660759000","753464862411","98,54 %","8699475000","6760048793","77,71 %","538535197000","538535197000","100,00 %","217426087000","208169616618","95,74 %","174419491908","222332596028","127,47 %","7000000000","42393582736","605,62 %","0","0","-","12982815908","14002337292","107,85 %","154436676000","154436676000","100,00 %","0","11500000000","-","0","0","-","0","0","-","996987948847","999518995212","100,25 %","610640464342","599883710748","98,24 %","370356249342","355701343598","96,04 %","0","0","-","0","0","-","16702500000","20282800000","121,44 %","21628200000","22612700000","104,55 %","0","0","-","199453515000","198840867150","99,69 %","2500000000","2446000000","97,84 %","0","0","-","386347484505","399635284464","103,44 %","11471044616","2145734778","18,71 %","215567328623","235841172082","109,40 %","159309111266","161648377604","101,47 %","10822200414","7450320842","68,84 %","28118334144","7950320842","28,27 %","28118334144","7950320842","28,27 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","17296133730","500000000","2,89 %","0","0","-","2000000000","500000000","25,00 %","15296133730","0","0,00 %","0","0","-","0","0","-","0","0","-","0","0","-"
"7","2019","05","33","Kab. Mamuju Utara","Realisasi APBD 2019 (per 21 Oktober 2020)","False","831240807537","880083588656","105,88 %","32406141747","44493904972","137,30 %","7774786550","8680785181","111,65 %","8772892000","20753991069","236,57 %","4109514310","3758816992","91,47 %","11748948887","11300311730","96,18 %","684147917000","679508327023","99,32 %","18521365000","15066732449","81,35 %","500272722000","500272722000","100,00 %","165353830000","164168872574","99,28 %","114686748790","156081356661","136,09 %","1200000000","39360675570","3.280,06 %","0","0","-","20877817790","22861750091","109,50 %","34213149000","92608931000","270,68 %","58395782000","1250000000","2,14 %","0","0","-","0","0","-","854616517771","878413334183","102,78 %","381947951588","375484406738","98,31 %","257720429630","250699887760","97,28 %","0","0","-","0","0","-","7642900000","9375824450","122,67 %","3485500000","3071000000","88,11 %","986675000","961593500","97,46 %","110612446958","110622640928","100,01 %","1500000000","753460100","50,23 %","0","0","-","472668566183","502928927445","106,40 %","19193847676","25162313576","131,10 %","173728817352","189383716720","109,01 %","279745901155","288382897149","103,09 %","23375710234","21222543689","90,79 %","23875710234","21222543689","88,89 %","23875710234","21222543689","88,89 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","500000000","0","0,00 %","0","0","-","500000000","0","0,00 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-"
"8","2019","06","33","Kab. Mamuju Tengah","Realisasi APBD 2019 (per 21 Oktober 2020)","False","694566133537","715475208757","103,01 %","48974796537","32562615960","66,49 %","11428750000","7808115521","68,32 %","9629316219","16990331273","176,44 %","0","0","-","27916730318","7764169166","27,81 %","564042526000","560497994337","99,37 %","10624136000","9292570602","87,47 %","364029720000","364029720000","100,00 %","189388670000","187175703735","98,83 %","81548811000","122414598460","150,11 %","0","25661615338","-","0","0","-","18500000000","18969178922","102,54 %","63048811000","63048810000","100,00 %","0","14734987200","-","0","0","-","0","7000","-","742457037248","759368309611","102,28 %","275884504163","252334046321","91,46 %","169826958668","149466773973","88,01 %","2804278495","2300701998","82,04 %","0","0","-","8895800000","6209900000","69,81 %","1163770000","3770500000","323,99 %","0","0","-","91693697000","90428352000","98,62 %","1500000000","157818350","10,52 %","0","0","-","466572533085","507034263290","108,67 %","35749320500","1988387000","5,56 %","215942605707","250538061625","116,02 %","214880606878","254507814665","118,44 %","47890903711","62532481445","130,57 %","65015903711","62532481445","96,18 %","2000000000","7940595045","397,03 %","0","0","-","0","0","-","63015903711","54591886400","86,63 %","0","0","-","0","0","-","0","0","-","0","0","-","17125000000","0","0,00 %","0","0","-","500000000","0","0,00 %","16625000000","0","0,00 %","0","0","-","0","0","-","0","0","-","0","0","-"
"9","2019","--","33","se-Prov. Sulawesi Barat","Realisasi APBD 2019 (per 21 Oktober 2020)","False","8323726611750","8343846934052","100,24 %","821888807215","773573551035","94,12 %","381556987672","377715295843","98,99 %","130444943737","93210294975","71,46 %","36452643742","26551596689","72,84 %","273434232064","276096363528","100,97 %","6486528769002","6424746122055","99,05 %","91673066000","70089412302","76,46 %","4399267756000","4399267756000","100,00 %","1995587947002","1955388953753","97,99 %","1015309035533","1145527260962","112,83 %","140850084539","251370188200","178,47 %","0","0","-","146070678994","148809394812","101,87 %","669992490000","694317246000","103,63 %","58395782000","50234987200","86,03 %","0","0","-","0","795444750","-","8412703023034","8320935038961","98,91 %","4334587411217","4260036021912","98,28 %","2776997574929","2635331539714","94,90 %","21958355863","21166344148","96,39 %","0","0","-","344277518000","432548631596","125,64 %","33686220000","37704046900","111,93 %","155546222829","153063954328","98,40 %","978218759596","976281775751","99,80 %","23902760000","3939729475","16,48 %","0","0","-","4078115611817","4060899017049","99,58 %","238981984140","79411994117","33,23 %","2024358530126","2146921630262","106,05 %","1814775097551","1834565392670","101,09 %","88976411283","218991460167","246,12 %","186657993413","281376484023","150,74 %","123442089702","223589475023","181,13 %","0","0","-","0","0","-","63015903711","57786609000","91,70 %","0","0","-","0","0","-","200000000","400000","0,20 %","0","0","-","97681582130","62385023856","63,87 %","0","0","-","19000000000","16160000000","85,05 %","78681582130","46225023856","58,75 %","0","0","-","0","0","-","0","0","-","0","0","-"
"10","2019","09","27","Kab. Pulau Morotai","Realisasi APBD 2019 (per 21 Oktober 2020)","False","926945577894","831144718349","89,66 %","64161678795","35417864456","55,20 %","9472400000","3101378348","32,74 %","20119770795","17931718828","89,12 %","0","0","-","34569508000","14384767280","41,61 %","660116737632","656532567832","99,46 %","21576754000","20807527887","96,43 %","404673835000","404673835000","100,00 %","233866148632","231051204945","98,80 %","202667161467","139194286061","68,68 %","8078228500","20719730014","256,49 %","0","0","-","5000269967","8826823458","176,53 %","109588663000","109588662589","100,00 %","80000000000","59070000","0,07 %","0","0","-","0","0","-","952876985462","823403987977","86,41 %","353518621053","321779853239","91,02 %","220004811853","187911119323","85,41 %","0","0","-","0","0","-","2039700000","2647900000","129,82 %","12090000000","15131093542","125,15 %","0","0","-","118384109200","115619038874","97,66 %","1000000000","470701500","47,07 %","0","0","-","599358364409","501624134738","83,69 %","29360997922","29137008431","99,24 %","197164110922","177984232326","90,27 %","372833255565","294502893981","78,99 %","-300000000","-4229875497","1.409,96 %","0","-3929875497","-","0","-3929875497","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","300000000","300000000","100,00 %","0","0","-","300000000","300000000","100,00 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-"
